Position,Ticker,Today,Expiration,Strike,Type,Spot,Qty,P&L Today,P&L Unrealized,% P&L Unrealized,Mkt Value,$ Chg. Close,Last Trade,Bid,Ask,Cost Basis,Min. Req.,Notional,Magin Not.,Gross Margin,OOMP/C,Net Margin,Premium,Total Margin,Spot + 1%,N+Notional,NGM+,NOOMP/C+,Margin+Delta,Spot - 1%,N-Notional,NGM-,NOOMP/C-,Margin-Delta,% G/L,Gross RR,Annual,Yld / Put G,Yld / Put A,Days_Until_Expire
GS Jun 23 '17 $230 Call,GS,2017-06-22,2017-06-23,230,Call,222.49,-200,-13600,-6220.8,-20.4,-36600,0.68,1.83,1.83,2.08,1.52,2230,-46e5,-44498,NA,NA,NA,-11000.000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GS Jun 23 '17 $232.50 Call,GS,2017-06-22,2017-06-23,233,Call,222.49,-50,-4115.77,-4115.77,-214.84,-6e3,0.5,1.2,1.12,1.25,0.38,733,-1165e3,-11124.5,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GS Jun 23 '17 $207.50 Put,GS,2017-06-22,2017-06-23,208,Put,222.49,-50,350,6734.1,86.71,-1e3,-0.07,0.2,0.18,0.24,1.55,708,-104e4,-11124.5,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GS Jun 30 '17 $230 Call,GS,2017-06-22,2017-06-30,230,Call,222.49,-150,-15965.21,-22295.65,-110.95,-42300,0.97,2.82,2.7,2.83,1.33,1730,-345e4,-33373.5,NA,NA,NA,-8250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
GS Jun 30 '17 $232.50 Call,GS,2017-06-22,2017-06-30,233,Call,222.49,-40,-1173.12,-1173.12,-18.76,-7400,0.62,1.81,1.85,1.99,1.56,633,-932e3,-8899.6,NA,NA,NA,-2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
GS Jun 30 '17 $202.50 Put,GS,2017-06-22,2017-06-30,203,Put,222.49,-54,378,11905.91,88.7,-1458,-0.07,0.27,0.23,0.29,2.47,743,-1096200,-12014.460000000001,NA,NA,NA,-2970.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
GS Jun 30 '17 $205 Put,GS,2017-06-22,2017-06-30,205,Put,222.49,-51,408,11056.71,85.88,-1785,-0.08,0.35,0.3,0.38,2.52,715,-1045500,-11346.99,NA,NA,NA,-2805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
GS Jun 30 '17 $207.50 Put,GS,2017-06-22,2017-06-30,208,Put,222.49,-20,199.8,2472.44,72.13,-940,-0.1,0.47,0.4,0.47,1.71,408,-416e3,-4449.8,NA,NA,NA,-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
GS Jun 30 '17 $210 Put,GS,2017-06-22,2017-06-30,210,Put,222.49,-72,1224,28338.53,86.8,-4248,-0.18,0.59,0.54,0.66,4.53,930,-1512e3,-16019.28,NA,NA,NA,-3960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
IBM Jun 16 '17 $157.50 Call,IBM,2017-06-22,2017-06-16,158,Call,153.79,-70,350,470.76,38.3,-700,-0.06,0.09,0.1,0.15,0.17,858,-1106e3,-10765.3,NA,NA,NA,-3850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
IBM Jun 16 '17 $148 Put,IBM,2017-06-22,2017-06-16,148,Put,153.79,-50,50,1720.24,85.59,-250,0,0.06,0.02,0.05,0.39,648,-74e4,-7689.5,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
IBM Jun 23 '17 $149 Put,IBM,2017-06-22,2017-06-23,149,Put,153.79,-60,341.48,341.48,16.59,-1680,-0.04,0.28,0.24,0.3,0.34,749,-894e3,-9227.4,NA,NA,NA,-3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
JNJ Jun 16 '17 $131 Call,JNJ,2017-06-22,2017-06-16,131,Call,134.91,-80,-4240,-8744.13,-121.04,-15920,0.52,2.07,1.84,1.99,0.9,931,-1048e3,-10792.8,NA,NA,NA,-4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
JNJ Jun 16 '17 $128 Put,JNJ,2017-06-22,2017-06-16,128,Put,134.91,-80,640,2643.97,87.66,-320,-0.08,0.04,0.04,0.11,0.37,928,-1024e3,-10792.8,NA,NA,NA,-4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
JPM Jun 16 '17 $86 Call,JPM,2017-06-22,2017-06-16,86,Call,87.12,-30,660,-2170.27,-121.91,-3930,-0.21,1.31,1.27,1.33,0.59,386,-258e3,-2613.6000000000004,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
JPM Jun 16 '17 $84.50 Put,JPM,2017-06-22,2017-06-16,85,Put,87.12,-30,529.75,529.75,69.68,-210,-0.05,0.07,0.05,0.07,0.25,385,-255e3,-2613.6000000000004,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
M Jun 16 '17 $23 Call,M,2017-06-22,2017-06-16,23,Call,21.6,-30,-270,-100.24,-25.05,-480,0.09,0.16,0.12,0.16,0.13,323,-69e3,-648,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
M Jun 23 '17 $22 Put,M,2017-06-22,2017-06-23,22,Put,21.6,-30,349.74,349.74,33.95,-660,-0.13,0.24,0.18,0.22,0.34,322,-66e3,-648,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
MAR Jun 16 '17 $107 Call,MAR,2017-06-22,2017-06-16,107,Call,104.13,-20,100,732.49,77.31,-200,0,0.47,0,0.1,0.47,307,-214e3,-2082.6,NA,NA,NA,-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
MAR Jun 23 '17 $101 Put,MAR,2017-06-22,2017-06-23,101,Put,104.13,-20,-7.5,-7.5,-0.95,-780,-0.84,0.39,0.35,0.65,0.39,301,-202e3,-2082.6,NA,NA,NA,-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
MCD Jun 16 '17 $155 Call,MCD,2017-06-22,2017-06-16,155,Call,153.73,-50,50,842.26,86.14,-100,-0.01,0.02,0.01,0.03,0.19,655,-775e3,-7686.499999999999,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
MCD Jun 23 '17 $146 Put,MCD,2017-06-22,2017-06-23,146,Put,153.73,-60,900,2081.45,59.49,-1380,-0.14,0.23,0.22,0.26,0.58,746,-876e3,-9223.8,NA,NA,NA,-3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
MCD Jun 30 '17 $147 Put,MCD,2017-06-22,2017-06-30,147,Put,153.73,-30,450,1819.68,48.39,-1920,-0.05,0.72,0.54,0.64,1.25,447,-441e3,-4611.9,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
MMM Jun 16 '17 $207.50 Put,MMM,2017-06-22,2017-06-16,208,Put,212.86,-25,16.12,16.12,2.27,-675,-0.25,0.27,0.18,0.27,0.28,458,-52e4,-5321.5,NA,NA,NA,-1375.0000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
MMM Jun 23 '17 $207.50 Call,MMM,2017-06-22,2017-06-23,208,Call,212.86,-25,-1900,-6033.92,-231.28,-8625,1,3.6,3.25,3.45,1.04,458,-52e4,-5321.5,NA,NA,NA,-1375.0000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NFLX Jun 16 '17 $170 Call,NFLX,2017-06-22,2017-06-16,170,Call,155.03,-20,20,1652.48,96.78,-40,-0.01,0.02,0.01,0.03,0.85,370,-34e4,-3100.6,NA,NA,NA,-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
NFLX Jun 30 '17 $155 Put,NFLX,2017-06-22,2017-06-30,155,Put,155.03,-20,-2787.65,-2787.65,-37.03,-10300,0.25,5.15,5.05,5.25,3.76,355,-31e4,-3100.6,NA,NA,NA,-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
NVDA Jun 23 '17 $145 Put,NVDA,2017-06-22,2017-06-23,145,Put,159.47,-50,1650,25634.49,72.18,-9850,-0.33,1.97,1.9,2.06,7.1,645,-725e3,-7973.5,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NVDA Jun 30 '17 $142 Put,NVDA,2017-06-22,2017-06-30,142,Put,159.47,-50,1150,5649.91,33.77,-11050,-0.23,2.21,2.16,2.32,3.34,642,-71e4,-7973.5,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
NVDA Jun 30 '17 $144 Put,NVDA,2017-06-22,2017-06-30,144,Put,159.47,-20,560,8752.21,62.04,-5340,-0.5,2.45,2.67,2.85,7.05,344,-288e3,-3189.4,NA,NA,NA,-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
PXD Jun 16 '17 $175 Call,PXD,2017-06-22,2017-06-16,175,Call,155.03,-40,320,785,77.34,-200,-0.08,0.05,0,0.1,0.25,575,-7e5,-6201.2,NA,NA,NA,-2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
PXD Jun 16 '17 $157.50 Put,PXD,2017-06-22,2017-06-16,158,Put,155.03,-40,200,2066.97,90.14,-200,-0.07,0.05,0.05,0.25,0.57,558,-632e3,-6201.2,NA,NA,NA,-2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
SPY Jun 16 '17 $244.50 Call,SPY,2017-06-22,2017-06-16,245,Call,242.95,-20,420,732.48,47.95,-780,-0.21,0.39,0.35,0.39,0.76,445,-49e4,-4859,NA,NA,NA,-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
